,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
1637,"Kryptonian is one of the languages spoken, written or signed in Alura In-Ze.","A fictional language is one of the language spoken, written or signed in a fictional character.",What is a fictional language?,What is the relation between a fictional character and a fictional language?,"What is spoken, written or signed by a fictional character?",Comic
1638,Two-Face is a member of the family Dent.,A fictional character is a member of a family.,Who is a member of a family?,What is the relation between a fictional character and a family?,What family is a fictional character a member of?,Comic
1639,Two-Face is a member of the family Dent.,A fictional character is a member of a family.,Who is a member of a family?,What is the relation between a fictional character and a family?,What family is a fictional character a member of?,Comic
1640,David Harbour is a performer of Hellboy.,A person is a performer of a fictional character.,Who is a performer of a fictional character?,What is the relation between a person and a fictional character?,What fictional character is a person a performer of?,Comic
1641,David Harbour is a performer of Hellboy.,A person is a performer of a fictional character.,Who is a performer of a fictional character?,What is the relation between a person and a fictional character?,What fictional character is a person a performer of?,Comic
1642,The Devil Slayer is from the United States of America.,A fictional character is from a state.,Who is from a state?,What is the relation between a fictional character and a state?,Where is a fictional character from?,Comic
1643,The Devil Slayer is from the United States of America.,A fictional character is from a state.,Who is from a state?,What is the relation between a fictional character and a state?,Where is a fictional character from?,Comic
1644,Yui Horie is the voice actor of Minori Kushieda.,A person is the voice actor of a fictional character.,Who is the voice actor of a fictional character?,What is the relation between a person and a fictional character?,What is a person a voice actor of?,Comic
1645,Yui Horie is the voice actor of Minori Kushieda.,A person is the voice actor of a fictional character.,Who is the voice actor of a fictional character?,What is the relation between a person and a fictional character?,What is a person a voice actor of?,Comic
1646,Nightshade is a name in the native language.,A fictional character is a name in the native language.,What is a name in the native language?,What is the relation between a fictional character and a name?,What is the name in the native language of a fictional character?,Comic
1647,Nightshade is a name in the native language.,A fictional character is a name in the native language.,What is a name in the native language?,What is the relation between a fictional character and a name?,What is the name in the native language of a fictional character?,Comic
1648,Mac Gargan's given name is MacDonald.,A fictional character's given name is a name?,What is a name?,What is the relation between a fictional character and a name?,What is the given name of a fictional character?,Comic
1649,Mac Gargan's given name is MacDonald.,A fictional character's given name is a name?,What is a name?,What is the relation between a fictional character and a name?,What is the given name of a fictional character?,Comic
1650,Shatterstar is a member of X-Force.,A fictional character is a member of a group of fictional characters.,Who is a member of a group of fictional characters?,What is the relation between a fictional character and a group of fictional characters?,What is a fictional character a member of?,Comic
1651,Shatterstar is a member of X-Force.,A fictional character is a member of a group of fictional characters.,Who is a member of a group of fictional characters?,What is the relation between a fictional character and a group of fictional characters?,What is a fictional character a member of?,Comic
1652,Ma'alefa'ak has a superhuman feature or ability called telescopic vision.,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
1653,Ma'alefa'ak has a superhuman feature or ability called telescopic vision.,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
1654,Grunge was created by J. Scott Campbell.,A fictional character is created by a person.,What is created by a person?,What is the relation between a fictional character and a person?,Who created a fictional character?,Comic
1655,Grunge was created by J. Scott Campbell.,A fictional character is created by a person.,What is created by a person?,What is the relation between a fictional character and a person?,Who created a fictional character?,Comic
1656,Jack Drake is from the DC Universe.,A fictional character is from a fictional universe.,Who is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,Where is a fictional character from?,Comic
1657,Jack Drake is from the DC Universe.,A fictional character is from a fictional universe.,Who is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,Where is a fictional character from?,Comic
1658,Lana Lang is a high school student.,A fictional character is a student.,Who is a student?,What is the relation between a fictional character and a role?,What is a fictional character?,Comic
1659,Lana Lang is a high school student.,A fictional character is a student.,Who is a student?,What is the relation between a fictional character and a role?,What is a fictional character?,Comic
