,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
1121,The Queensland Railways B11 Baldwin class was established in 1880.,What class was established in 1880?,When was the Queensland Railways B11 Baldwin class established?,When was the Queensland Railways B11 Baldwin class established?,MeanOfTransportation,A locomotive is established in a time.,What is established in a time?,What is the relation between a locomotive and a time?,When is a locomotive established?,MeanOfTransportation
1122,Eastcliff Lift is located in the administrative territorial entity of Ramsgate.,What is the name of the lift located in Ramsgate?,Where is Eastcliff Lift located?,Eastcliff Lift is located in what administrative territorial entity?,MeanOfTransportation,Lift is located in Kent,What is located in Kent?,What is the localization relationship between an entity and a place??,Where is the lift located?,MeanOfTransportation
1123,Eastcliff Lift is located in the administrative territorial entity of Ramsgate.,What is the name of the lift located in Ramsgate?,Where is Eastcliff Lift located?,Eastcliff Lift is located in what administrative territorial entity?,MeanOfTransportation,-,What is located in a town?,-,-,MeanOfTransportation
1124,ZSSK Class 757 has a mass of 72 tonne.,What class has a mass of 72 tonne?,What is the ZSSK Class 757's what?,What is the mass of the ZSSK Class 757?,MeanOfTransportation,Slovak locomotive / has mass / 72 tonne,What has a mass of 72 tonne?,What is the weight relationship between an entity and its mass in tonne?,What mass does the Slovak locomotive have?,MeanOfTransportation
1125,ZSSK Class 757 has a mass of 72 tonne.,What class has a mass of 72 tonne?,What is the ZSSK Class 757's what?,What is the mass of the ZSSK Class 757?,MeanOfTransportation,A locomotive has a mass.,What has a mass?,What is the relation between a locomotive and a mass?,What is the mass of a locomotive?,MeanOfTransportation
1126,DRG Class 01 replaces DRG Class 2.,What replaces DRG Class 2?,What does DRG Class 2 do?,What does DRG Class 2 replace?,MeanOfTransportation,German locomotives replaced German locomotives,What replaced German locomotives?,What is the substitution relationship between two locomotives?,What replaced German locomotives?,MeanOfTransportation
1127,DRG Class 01 replaces DRG Class 2.,What replaces DRG Class 2?,What does DRG Class 2 do?,What does DRG Class 2 replace?,MeanOfTransportation,A locomotive replaces a locomotive.,What replaces a locomotive?,What is the relation between locomotives?,What is a locomotive replaced by?,MeanOfTransportation
1128,Tre Valli Varesine was published in 1963 and has the edition number 43.,What was the first book published?,What is the number of the book that was published in 1963?,What is the number of editions of Tre Valli Varesine?,MeanOfTransportation,Tre Valli Varesine / has edition number / 43,What has edition number 43?,What is the relationship concerning an entity and its edition number?,What is the edition number of Tre Valli Varesine?,MeanOfTransportation
1129,Tre Valli Varesine was published in 1963 and has the edition number 43.,What was the first book published?,What is the number of the book that was published in 1963?,What is the number of editions of Tre Valli Varesine?,MeanOfTransportation,-,-,-,-,MeanOfTransportation
1130,SJ Da's speed is 100 km/h.,What car has a speed of 100 km/h?,,What is SJ Da's speed?,MeanOfTransportation,Locomotive / has speed / 100km/h,What has speed 100 km/h?,What is the velocity relationship between locomotive and unit of speed?,What is the speed of the locomotive?,MeanOfTransportation
1131,SJ Da's speed is 100 km/h.,What car has a speed of 100 km/h?,,What is SJ Da's speed?,MeanOfTransportation,A locomotive's speed is a speed.,What is a speed?,What is the relation between a locomotive and a speed?,What is the speed of a locomotive?,MeanOfTransportation
1132,The length of lokomotiva 718 is 15180 millimetres.,What is the length of a car?,What is the length of the lokomotiva 718?,What is the length of the lokomotiva 718?,MeanOfTransportation,The locomotive has length 15180 millimetres,What has length 15180 millimetres?,What is the length relationship between a locomotive and the unit of length?,How long is the locomotive?,MeanOfTransportation
1133,The length of lokomotiva 718 is 15180 millimetres.,What is the length of a car?,What is the length of the lokomotiva 718?,What is the length of the lokomotiva 718?,MeanOfTransportation,The length of a locomotive is a length.,What is a length?,What is the relation between a locomotive and a length?,What is the length of a locomotive?,MeanOfTransportation
1134,EMD TR5 has quality cow-calf.,What is the name of the cow-calf breed?,What is the quality of the cow-calf?,What type of animal does EMD TR5 have?,MeanOfTransportation,A locomotive / has / a cow-calf,What mean of transportation has a cow calf?,What is the possession relationship between two entities?,What does a locomotive have?,MeanOfTransportation
1135,EMD TR5 has quality cow-calf.,What is the name of the cow-calf breed?,What is the quality of the cow-calf?,What type of animal does EMD TR5 have?,MeanOfTransportation,A locomotive has a quality.,What has a quality?,What is the relation between a locomotive and a quality?,What is a locomotive's quality?,MeanOfTransportation
1136,The switcher is used in the SR Z class.,Where is the switcher used?,What is the switcher used for in the SR Z class?,What is used in the SR Z class?,MeanOfTransportation,The locomotives use the switcher,What mean of transportation uses the switcher?,What is the usage relationship between two entities?,What do the locomotives use?,MeanOfTransportation
1137,The switcher is used in the SR Z class.,Where is the switcher used?,What is the switcher used for in the SR Z class?,What is used in the SR Z class?,MeanOfTransportation,A switcher is used in a locomotive.,What locomotive uses a switcher?,What is the relation between a locomotive and a switcher?,What switcher does a locomotive use?,MeanOfTransportation
1138,Esteban Chaves is a mountain classification for the 2018 Giro d'Italia stage 16.,What is Esteban Chaves a mountain classification for?,What is Esteban Chaves?,What is the mountain classification for the 2018 Giro d'Italia stage 16?,MeanOfTransportation,Giro d'Italia / classified / road racing cyclist,What race classified the road racing cyclist?,What is the classification relationship in a race between race and athlete?,Who was classified in the Giro d'Italia?,MeanOfTransportation
1139,Esteban Chaves is a mountain classification for the 2018 Giro d'Italia stage 16.,What is Esteban Chaves a mountain classification for?,What is Esteban Chaves?,What is the mountain classification for the 2018 Giro d'Italia stage 16?,MeanOfTransportation,-,What is a mountain classification for a stage?,-,-,MeanOfTransportation
1140,"Gino Mäder is a young rider in 2020 Vuelta a España, stage 13.",What is Gino Mäder's first race?,What is Gino Mäder's classification?,Who is the rider in the stage 13 of Vuelta a Espana?,MeanOfTransportation,The stage of the Vuelta a Espana / has member / Gino Mader,Who was Gino Mader member of?,What is the membership relationship between the race and a cyclist?,Who was member of the Stage 13 of the Vuelta of Espana?,MeanOfTransportation
